LOCATION,brand,date,fuel_type,fuel_price,dedup_hash,upd_dt_utc
GEELONG,viva,2019-10-01,PULP98,161.96,10101faf681daee33f5a7df122912b76,1569823216
GEELONG,bp,2019-09-28,ULP,135.41,70c47542b51571a194d3298387dd20d9,1569823216
GEELONG,viva,2019-10-01,ULP,135.73,d519d41bd1e33f49f5e61659eea70cf3,1569823216
GEELONG,bp,2019-10-01,DIESEL,136.09,76b94797b287bc56f931d3556d883975,1569909615
GEELONG,viva,2019-10-02,DIESEL,136.68,2d9539e359c160625b29daeca2ad758e,1569909615
GEELONG,bp,2019-10-01,PULP95,141.98,0b214c3697e612c5834a3480ec334165,1569909615
GEELONG,viva,2019-10-02,PULP95,144.43,45216739195ac9d9585741053390c270,1569909615
GEELONG,viva,2019-10-02,PULP98,160.95,ea017a88c651c3e6d13c4a8598642c13,1569909615
GEELONG,bp,2019-10-01,ULP,133.98,2bb3573ac03cdee40f1f1de4a4b43c60,1569909615
GEELONG,viva,2019-10-02,ULP,134.3,918d81ec10d79c135b3ba8d2eab1262f,1569909615
GEELONG,bp,2019-10-02,DIESEL,135.66,cc3c882d634d549ba2f43b768f0b668a,1569996015
GEELONG,viva,2019-10-03,DIESEL,136.19,54a3eb5474ed755721689d33d0e4e447,1569996015
GEELONG,bp,2019-10-02,PULP95,140.72,e6caa72e2e1a20c5ac1caecac52aa6c9,1569996015
GEELONG,viva,2019-10-03,PULP95,143.46,4cde2e6f97722554567c79822f299370,1569996015
GEELONG,viva,2019-10-03,PULP98,159.98,c9c9c6816400abe1fbc6efa972314fc5,1569996015
GEELONG,bp,2019-10-02,ULP,132.72,491b4bfb46f698d0abee2d1480531052,1569996015
GEELONG,viva,2019-10-03,ULP,132.98,3a32db0e2fc30435021c502bd78121ac,1569996015
GEELONG,bp,2019-10-03,DIESEL,135.36,933b279ee5067d3bedae328e54513052,1570082416
GEELONG,viva,2019-10-04,DIESEL,135.76,58e2247b603c98106890df8324b99986,1570082416
GEELONG,bp,2019-10-03,PULP95,139.14,de255ca8d927e0695c1728c35f822afe,1570082416
GEELONG,viva,2019-10-04,PULP95,142.1,ced7463e7dd2177a6374a3c3c4956269,1570082416
GEELONG,viva,2019-10-04,PULP98,158.62,65668d32543edd8d5bdc3aa75977adcd,1570082416
GEELONG,bp,2019-10-03,ULP,131.14,5f53ab10a4dced8df08b6a7f4664c51a,1570082416
GEELONG,viva,2019-10-04,ULP,131.27,e57656768815ee20e28e3b489ce9d780,1570082416
GEELONG,bp,2019-10-04,DIESEL,135.33,e4931da302d73b24d98e7a16f2e31095,1570341616
GEELONG,viva,2019-10-05,DIESEL,135.8,9ba2f1b958740d7c600ad319614f6f8d,1570341616
GEELONG,bp,2019-10-04,PULP95,138.32,4e9aa3c1ccb068d59d3329f7889c9114,1570341616
GEELONG,viva,2019-10-05,PULP95,141.21,455a40a299952061f640a1a444b2eaa3,1570341616
GEELONG,viva,2019-10-05,PULP98,157.75,e3f1c2f4bb5dfac1b44b5e64c4889421,1570341616
GEELONG,bp,2019-10-04,ULP,130.32,2f5ec1620ee49e29f904752d957e8f7e,1570341616
GEELONG,viva,2019-10-05,ULP,130.53,20e5c6601d1c47d2104c81975ecc4623,1570341616
GEELONG,bp,2019-10-05,DIESEL,134.76,836dc8394098cef89f3d9d3bbb6a1e73,1570428015
GEELONG,viva,2019-10-08,DIESEL,135.25,b30ca173b18dac3aa9a0d6ccf7db3e01,1570428015
GEELONG,bp,2019-10-05,PULP95,138.64,8c27f6d01f7bf400eacaa7a8211300e8,1570428015
GEELONG,viva,2019-10-08,PULP95,140.65,4c3f4fdaddf7aeadecc66e41323661c3,1570428015
GEELONG,viva,2019-10-08,PULP98,157.2,62c1d618024fee9608baed5db7ec7a93,1570428015
GEELONG,bp,2019-10-05,ULP,130.64,0d6a4a47afbdaa1ad003fcda3764ab30,1570428015
GEELONG,viva,2019-10-08,ULP,130.88,2b4ad17b529f3121f8c88045ff4334ce,1570428015
GEELONG,bp,2019-10-08,DIESEL,134.1,8ffdcf979a3f089c781a07cf0fbf2e58,1570514416
GEELONG,viva,2019-10-09,DIESEL,134.57,e535447d3216742290a66cc732adf80c,1570514416
GEELONG,bp,2019-10-08,PULP95,138.7,d0e0e4abe0078c5e582dfee1f52b46a5,1570514416
GEELONG,viva,2019-10-09,PULP95,140.28,d6f59e168b9e64a169c36760efe696fe,1570514416
GEELONG,viva,2019-10-09,PULP98,156.84,466c15548dae4f7f9c56d011c88bdd0f,1570514416
GEELONG,bp,2019-10-08,ULP,130.7,0b35c77d4d225fa8f7fe4a48cf2677ec,1570514416
GEELONG,viva,2019-10-09,ULP,130.94,b79dd5bd7afb1726464f412b7552ce3f,1570514416
GEELONG,bp,2019-10-09,DIESEL,133.72,b4d1cad141e31311c3d4ae7ad3a15c78,1570600815
GEELONG,viva,2019-10-10,DIESEL,134.13,123839c43ede480a80fe675a0f0d66dc,1570600815
GEELONG,bp,2019-10-09,PULP95,139.46,3db73448442bf822c4bd0f780bb93e55,1570600815
GEELONG,viva,2019-10-10,PULP95,140.64,6e25d75a55787be0524a0b3a6b757a40,1570600815
